['function', 'address', 'id']
['Int32KVArrayClear', '00000000100F56F0', '203']
['Int64ArrayClear', '00000000100F3750', '204']
['Int64KVArrayClear', '00000000100F53E0', '205']
['Int8ArrayClear', '00000000100F3750', '206']
['Int8KVArrayClear', '00000000100F3770', '207']
['JwtAuthenticatorJWTVerifyResourceClear', '00000000101176E0', '208']
['JwtAuthenticatorJWTVerifyResourceInit', '00000000100F4730', '209']
['KrAccountAccountPromotionSessionClear', '00000000100F3720', '210']
['KrAccountAccountPromotionSessionInit', '00000000100F3740', '211']
['KrAccountKrAccountPluginConfigClear', '00000000100F4DF0', '212']
['KrAccountKrAccountPluginConfigInit', '00000000100F4730', '213']
['LaunchDevRiotClient', '00000000100AA210', '214']
['LaunchRiotClient', '00000000100AA270', '215']
['LoyaltyLoyaltyEventUrlClear', '00000000100F36E0', '216']
['LoyaltyLoyaltyEventUrlInit', '00000000100F3710', '217']
['LoyaltyPCBangInfoClear', '00000000100F3710', '218']
['LoyaltyPCBangInfoInit', '00000000100F3710', '219']
['MobileProductRegistryGameVersionClear', '00000000100F4020', '220']
['MobileProductRegistryGameVersionInit', '00000000100F4020', '221']
['MobilePushMobilePushRegisterPushClear', '00000000100F36E0', '222']
['MobilePushMobilePushRegisterPushInit', '00000000100F3710', '223']
['MobilePushMobilePushSubscribeToTopicClear', '00000000100F3720', '224']
['MobilePushMobilePushSubscribeToTopicInit', '00000000100F3740', '225']
['NameCheckNameValidationResultClear', '0000000010117710', '226']
['NameCheckNameValidationResultInit', '00000000100F3710', '227']
['NintendoAccountAuthorizationClear', '00000000100F36E0', '228']
['NintendoAccountAuthorizationInit', '00000000100F3710', '229']
['NintendoAccountAuthorizationParametersClear', '00000000100F35F0', '230']
['NintendoAccountAuthorizationParametersInit', '00000000100F3610', '231']
['NintendoAccountGetNetworkServiceAccountParametersClear', '0000000010117730', '232']
['NintendoAccountGetNetworkServiceAccountParametersInit', '0000000010117730', '233']
['NintendoAccountNetworkServiceAccountClear', '00000000100F3720', '234']
['NintendoAccountNetworkServiceAccountInit', '00000000100F3740', '235']
['PatchComponentActionProgressClear', '0000000010117740', '236']
['PatchComponentActionProgressInit', '0000000010117820', '237']
['PatchComponentArrayClear', '0000000010117840', '238']
['PatchComponentArrayInit', '00000000100F3CC0', '239']
['PatchComponentClear', '0000000010117A00', '240']
['PatchComponentInit', '0000000010117B20', '241']
['PatchComponentRequestArrayClear', '0000000010117B50', '242']
['PatchComponentRequestArrayInit', '00000000100F3CC0', '243']
['PatchComponentRequestClear', '0000000010117BF0', '244']
['PatchComponentRequestInit', '0000000010117C60', '245']
['PatchConfigurationClear', '00000000100F5290', '246']
['PatchConfigurationInit', '00000000100F4730', '247']
['PatchDebugSetupClear', '00000000100F4B00', '248']
['PatchDebugSetupInit', '00000000100F46D0', '249']
['PatchDesiredComponentStateClear', '0000000010117C80', '250']
['PatchDesiredComponentStateInit', '00000000100F45D0', '251']
['PatchErrorClear', '0000000010117CC0', '252']
['PatchErrorInit', '00000000100F4730', '253']
['PatchInstallClear', '0000000010117D20', '254']
['PatchInstallInit', '0000000010117820', '255']
['PatchInstallParamsClear', '0000000010117D70', '256']
['PatchInstallParamsInit', '00000000100F4C10', '257']
['PatchInstallRequestArrayClear', '0000000010117DB0', '258']
['PatchInstallRequestArrayInit', '00000000100F3CC0', '259']
['PatchInstallRequestClear', '0000000010117E20', '260']
['PatchInstallRequestInit', '00000000100F4730', '261']
['PatchInstallStateArrayClear', '0000000010117E50', '262']
['PatchInstallStateArrayInit', '00000000100F3CC0', '263']
['PatchInstallStateClear', '0000000010117EC0', '264']
['PatchInstallStateInit', '00000000100F4730', '265']
['PatchLockedFileInfoClear', '0000000010117EF0', '266']
['PatchLockedFileInfoInit', '00000000100F4730', '267']
['PatchManifestProgressClear', '00000000100F46D0', '268']
['PatchManifestProgressInit', '00000000100F46D0', '269']
['PatchPatchRequestClear', '0000000010117F20', '270']
['PatchPatchRequestInit', '0000000010117F80', '271']
['PatchPatchStatusClear', '0000000010117FA0', '272']
['PatchPatchStatusInit', '0000000010117FF0', '273']
['PatchPreviewDiffClear', '0000000010117820', '274']
['PatchPreviewDiffInit', '0000000010117820', '275']
['PatchPreviewRequestClear', '0000000010118010', '276']
['PatchPreviewRequestInit', '0000000010118060', '277']
['PatchPreviewStatusClear', '0000000010118080', '278']
